line #s,T.A Paris BnF fr. 23112 - Transcription,T.A Edited,T.A Translation
...,...,...,...
157,De se biaute de se figure,De se biaute de se figure,"Of her beauty, of her figure"
158,Si co ele est en escriture,Si com ele est en escriture,as it is in the written source
159,Vueil -i- peu dire le samblant,Vueil -i- peu dire le samblant,I want to say a little about her appearance
160,Anchois q ie trespas avant,Anchois que je trespas avant,before I go too far.
161,Car a cel tans en icel regne,Car a cel tans en icel regne,"For at that time in that reign,"
162,Ne vit nus hom plus bele feme,Ne vit nus hom plus bele feme,no man saw a more beautiful woman.
163,Ne onc contesse ne roine,Ne onc contesse ne roine,Never countess nor queen
164,Nen ot el front plus bele crine,Nen ot el front plus bele crine,had over her brow more beautiful hair.
165,Reondes avoit les oreilles,Reondes avoit les oreilles,She had round ears.
166,Mais blanches erent a mueilles,Mais blanches erent a merveilles,"What's more, they were marvelously white,"
167,Les iex clers & sosrians,Les iex clers & sosrians,"her eyes bright and smiling,"
168,les sorchix noir & avenans,les sorchix noir & avenans,"her eyebrows black and becoming,"
169,bouche petite p mesure,bouche petite par mesure,"her little mouth mild,"
170,& le pie & le regardeiue,& pie le regardeiue,"and pious her gaze,"
171,Le face tenrre & coloree,Le face tenrre & coloree,her face tender and blushing
172,Co le rose q sempre est nee,Com le rose qui sempre est nee,like the rose that is always in bloom.
173,Ja el nes ne el menton,Ja el nes ne el menton,Indeed neither on her nose nor on her chin
174,Napceussies mesfaichon,N'aperceussies mesfaichon,would you be aware of any defect.
175,En som le col blanc c ermine,En som le col blanc com ermine,Her neck was white like ermine too.
176,li un doit le bloie crine,li undoit le bloie crine,There flowed her blonde hair.
177,Les mameles de cele dame,Les mameles de cele dame,The breasts of this lady
178,Nestoient merres dune pome,N'estoient menrres d'une pome,were no smaller than apples.
179,Desous le goule en le poitne,Desous le goule en le poitrine,"Above the cleavage of her chest,"
180,Ert blanche cme flor despine,Ert blanche conme flor d'espine,it was white like hawthorn flower.
181,blans bras avoit & blaces mains,blans bras avoit & blances mains,"She had white arms and white hands,"
182,Les dois reons gilles & plains,Les dois reons grailles & plains,"her fingers shapely, slender, and smooth."
183,Gent cors avoit & bn molle,Gent cors avoit & bien molle,She had a fine body and well molded
184,Sous laissele lonc le coste,Sous l'aissele lonc le coste,from her underarm along her rib.
185,El niert tp gnt ne tp petite,El n'iert trop grant no trop petite,She was neither too big nor too small.
186,Ja se faichon ne iert escte,Ja se faichon n'en iert escrite,Her frame could never be written.
187,Ja le biaute de ceste dame,Ja le biaute de ceste dame,The beauty of this lady
188,Nen iert escte p nul home,Nen iert escrite par nul home,could never be written by any man.
189,Tant iert cortoise de parler,Tant iert cortoise de parler,She was so courteous of speech.
190,Riens ni avoit q amender,Riens n'i avoit que amender,There was nothing to improve.
191,A plaindre fait tel caature,A plaindre fait tel criaature,Such a creature makes one lament
192,Qnt del creator navoit cure,Quant del Creator n'avoit cure,when she does not care about the Creator.
193,El recevoit plusors psens,El recevoit plusors presens,She received many presents
194,Sen acatoit bons vestems,S'en acatoit bons vestemens,and bought herself good garments.
195,Bons dras avoit . & avenans,Bons dras avoit . & avenans,She had good and fitting clothes
196,Por mix plaisir a ses amans,Por mix plaisir a ses amans,to better please her lovers.
197,Ele navoit soig de dras de laine,Ele n'avoit soing de dras de lainne,She did not care for woollen cloth.
198,Au pior jor de le semaine,Au pior jor de le semainne,"On the worst day of the week,"
199,Bon bliaut avoit dostorin,Bon bliaut avoit d'ostorin,she had a fine purple silk bliaut
200,& affubloit mantel dermin,& affubloit mantel d'ermin,and adorned herself with an ermine mantle.
201,Soullers bn pains de cordouam,Soullers bien pains de cordouam,Well-painted shoes of Cordovan leather
202,Cauchoit a tous les jors del an,Cauchoit a tous les jors de l'an,she put these on all the days of the year.
203,Le citoien de le cite,Le citoien de le cite,The citizens of the city
204,Lamoient tout por se biaute,L'amoient tout por se biaute,loved her entirely for her beauty.
205,Li anchien home & li saige,Li anchien home & li saige,The old men and the wise
206,disoient tout dex quel damage,disoient tout Dex quel damage,"would all say, ""God, what a shame!"
207,Com mar fu onc ceste dolante,Com mar fu onc ceste dolante,Oh alas evermore for this suffering!
208,Tant fait a plaindre se iovete,Tant fait a plaindre se jovente,There is much to bemoan of her youth.
209,Tant mar fu onqs le siue vie,Tant mar fu onques le siue vie,Alas evermore for her life
210,Qnt si est plainne de folie,Quant si est plainne de folie,"as it is so full of folly."""
211,Tout disoient p le cite,Tout disoient par le cite,Everyone in the city would say
212,Quele estoit de haut pente,Qu'ele estoit de haut parente,that she was of high parentage
213,Car a tos respondoit raison,Car a tos respondoit raison,for she answered all with reason
214,& tant iert bele de fachon,& tant iert bele de fachon,and had such a beautiful frame
215,ke li fix dun empereor,ke li fix d'un empereor,that the son of an emperor
216,Le peust prendre a gnt honor,Le peust prendre a grant honor,could have taken her with great honor.
...,...,...,...
613,Tant ala p jor & p nuit,Tant ala par jor & par nuit,So she went by day and by night
614,A faim & a soif & a dur lit,A faim & a soif & a dur lit,"hungry, thirsty, and on hard beds."
615,Que tant pfont fu el boscaige,Que tant parfont fu el boscaige,She was so deep in the wood
616,Toute devint illuec salvaige,Toute devint illuec salvaige,"that she became entirely wild there,"
617,Mais ele ne soublioit mie,Mais ele ne s'oublioit mie,but she never forgot
618,De deprier sainte Marie,De deprier sainte Marie,to pray to saint May.
619,Sovent li menbroit del y maige,Sovent li menbroit de l'ymaige,Often she remembered the image
620,Que ele avoit mis en ostaige,Que ele avoit mis en ostaige,on which she had made her pledge.
621,Si souller furent tout use,Si souller furent tout use,"Soon her shoes were worn out,"
622,& tout si drapel deschire,& tout si drapel deschire,and soon her clothes were all torn up.
623,Li cors de li remaint tout nu,Li cors de li remaint tout nu,Her body was left totally naked.
624,Navoit drapel ne fust rompu,N'avoit drapel ne fust rompu,She did not have clothing that was not in tatters.
625,Lichars de li mua coulor,Li chars de li mua coulor,"Her own flesh changed color,"
626,Qui ains iert blance ome flor,Qui ains iert blance conme flor,that which before was white like a flower.
627,Que por yver q por este,Que por yver que por este,"From winter as from summer,"
628,Tout li noircirent li coste,Tout li noircirent li coste,her sides blackened entirely.
629,Coulor mua se bloie crine,Coulor mua se bloie crine,The color of her blonde hair changed.
630,Blanche devint o une hmine,Blanche devint com une hermine,It turned white like an ermine.
631,Le bouce li fu tenevie,Le bouce li fu tenevie,"Her mouth was thinned,"
632,& environ toute noirchie,& environ toute noirchie,"and all around it blackened,"
633,& avoit tant noir le menton,& avoit tant noir le menton,and her chin was so black
634,Come sil fust taint de carbon,Conme s'il fust taint de carbon,as though it were dyed with charcoal.
635,Atenerge furent li oel,Atenerge furent li oel,Thinned were her eyes.
636,Ni avoit ore poit dorguel,N'i avoit ore point d'orguel,There was not a shred of pride now.
637,Se v veissies les oreilles,Se vos veissies les oreilles,"If you saw her ears,"
638,Mlt p v presist gns mveilles,Molt par vos presist grans merveilles,you would really take in a great marvel.
639,Car noire estoit & decrevee,Car noire estoit & decrevee,for they were black and cracked.
640,Le blanche char toute muee,Le blanche char toute muee,Her white flesh changed entirely
641,Noire & muee ert le poitne,Noire & muee ert le poitrine,Black and changed was her chest.
642,A escorce samblant despine,A escorce samblant d'espine,It seemed like thorny bark.
643,Navoit plus char en ses tians,N'avoit plus char en ses traians,"There was no more flesh in her breasts,"
644,Ne mais o il a en uns gans,Ne mais com il a en uns gans,no more than there is in a glove.
645,Les bras les mais & leslos dois,Les bras les mains & les lons dois,"Her arms, her hands, and her long fingers"
646,Avoit plus noirs q nule pois,Avoit plus noirs que nule pois,were blacker than any pitch.
647,Ongles avoit longes & grans,Ongles avoit longes & grans,She had long and large nails.
648,Ele les retailloit a ses dens,Ele les retailloit a ses dens,She reshaped them with her teeth.
649,Li ventres li estoit caoit,Li ventres li estoit caoit,Her stomach was sunken.
650,Petit de des despensse imetoit,Petit de despensse i metoit,She put little provisions in there.
651,Li pie li erent decreve,Li pie li erent decreve,Her feet were split.
652,Enplusors lius erent navre,En plusors lius erent navre,"In many places, they were wounded"
653,Car ele ne se gardoit despine,Car ele ne se gardoit d'espine,for she did not protect herself from thorns
654,Qnt ele aloit p le gastine,Quant ele aloit par le gastine,as she went through the wilderness.
655,Che li ert vis sien esciant,Che li ert vis sien esciant,"It seemed to her, in her mind,"
656,Que ele ni failloit nient,Que ele n'i failloit nient,"she was not wrong about this at all,"
657,Cuns de ses pekies li caoit,C'uns de ses pekies li caoit,that one of her sins fell away
658,Qnt une espine le pongnoit,Quant une espine le pongnoit,when a thorn pricked her.
659,Porchou estoit ele mlt lie,Por chou estoit ele molt lie,"For this, she was so pleased"
660,Qnt ele souffroit le hasqe,Quant ele souffroit le hasquie,as she suffered hardship.
661,Nest mveille se iert noirchie,N'est merveille se iert noirchie,It was no marvel that she was blackened
662,Car mlt demenoit aspee vie,Car molt demenoit aspee vie,for she led such a severe life.
663,Plus de xl. ans ala nue,Plus de xl. ans ala nue,"After more than forty years in the nude,"
664,Niert mveille se iert moussue,N'iert merveille se iert moussue,it was no marvel she was wooly.
665,Povre despense avoit o li,Povre despense avoit o li,She had poor provisions with her.
666,Or ait jhc de li merchi,Or ait Jhesus de li merchi,"Pray, may Jesus have mercy on her."
667,.ii. pains avoit ne gaires gns,.ii. pains avoit ne gaires grans,She had two breads of no great size.
668,De chiaus vesq p plusors ans,De chiaus vesqui par plusors ans,"On these, she lived for many years."
669,El pmier an devinrret dur,El premier an devinrrent dur,"In the first year, they became hard"
670,Co se fust pierre de mur,Com se fust pierre de mur,as though they were building stones.
671,Cascu jor en usoit Marie,Cascun jor en usoit Marie,"Each day, Mary ate some,"
672,Mais che iert petite partie,Mais che iert petite partie,but this was a small portion.
673,Qnt ele ot tot son pain use,Quant ele ot tot son pain use,"As soon as she had eaten up all her bread,"
674,Puis esrachoit lerbe del pre,Puis esrachoit l'erbe del pre,then she plucked the grass nearby.
675,Qnt autre beste le mengoit,Quant autre beste le mengoit,Like other beasts she ate it.
676,de rien ne se confortoit,de rien ne se confortoit,She provided herself with nothing else.
677,As mains buvoit liaue el ruissel,As mains buvoit l'iaue el ruissel,"On her hands, she drank the water from the stream"
678,Qnt ele navoit autre vaissel,Quant ele n'avoit autre vaissel,as she had no other vessel.
679,Ne font a plaindre li pechie,Ne font a plaindre li pechie,She does not bemoan her sins
680,Dont li cors fu si castie,Dont li cors fu si castie,as her body is so chastised.
681,Derbe vesq & de rachines,D'erbe vesqui & de rachines,On grass she lived and on roots
682,Xvii. ans .p les gastines,Xvii. ans. par les gastines,for seventeen years in the wilderness.
683,Puis fu .xxx. ans onc ne menga,Puis fu .xxx. ans onc ne menga,"Then for thirty years, she never ate"
684,Se angeles ne li aporta,Se angeles ne li aporta,but what the angel brought to her.
685,Li diables le an premier,Li diables le an premier,"In the first year, the devil"
686,Le soloit sovent essaier,Le soloit sovent essaier,"often used to tempt her,"
687,Tout che li faisoit rembrer,Tout che li faisoit remembrer,making her remember all
688,Quele soloit tos jors amer,Qu'ele soloit tos jors amer,that she used to always love.
689,Les bons mgiers & les biax lieus,Les bons mengiers & les biax lieus,The good eats and the beautiful places
690,Ou ele soloit faire les geus,Ou ele soloit faire les geus,where she was used to playing games.
691,Or fu ichi boneuree,Or fu ichi boneuree,"Now, she was so blissful"
692,Quele de tout fu obliee,Qu'ele de tout fu obliee,that she had forgotten all.
693,Onqs puis en toute se vie,Onques puis en toute se vie,Never then in all her life
694,Ne li souvint mais de folie,Ne li souvint mais de folie,did she think more of folly.
695,Ne ainc en trestot le boscaige,Ne ainc en trestot le boscaige,Never in all the wood
696,Ne li vint puis beste salvaige,Ne li vint puis beste salvaige,did any wild beast come to her then
697,Ne autre vive creature,Ne autre vive creature,nor any other living creature.
698,P le gaut va toute seure,Par le gaut va toute seure,"Through the glen, she goes totally sure."
699,En plusors lius prist son ostel,En plusors lius prist son ostel,"In many places, she took shelter."
700,Se vie ert tote esperitel,Se vie ert tote esperitel,Her life was entirely spiritual.
...,...,...,...